architecture_id,model_score,organization_auc_like,spearman_vs_organization_score,organization_score_rmse,spearman_vs_abs_m36_residual_post_selection_audit,clean_sample_spearman_vs_abs_m36_residual,mature_median_score,juvenile_failed_median_score,quality_quarantined_median_score,trained_on_endpoint_residuals,trained_on_A_inferred,uses_quality_as_physical_feature
nearest_neighbor_mature_template,0.8221016362392095,0.8163265306122449,0.6656536648071445,0.2744141805722411,-0.19022608866076796,-0.16851642257178084,1.0,0.5399040554997286,0.47397544528998325,False,False,False
multi_regime_mature_footprint,0.7984120291887672,0.7970521541950113,0.6018750226400567,0.3423403586956517,-0.094131735991922,-0.07891415791798556,0.9975735248197358,0.8759380448042332,0.8836873151019391,False,False,False
hi_compactness_modifier,0.7938059564001997,0.7919501133786848,0.5945050440231692,0.3085675433184748,-0.1730151070066575,-0.14996410229339208,1.0,0.2418745757716407,0.11710388198280064,False,False,False
organization_label_weighted,0.7894948178226091,0.7939342403628118,0.562500351924465,0.2832310091177477,-0.2297073966042888,-0.21101346103689286,0.9962195804142089,0.6179438284889824,0.5731801654529552,False,False,False
two_stage_composition_geometry,0.784289942659445,0.7888321995464853,0.5517086454527398,0.29156103531255184,-0.22183033072855968,-0.19905663038939805,0.9853188361666534,0.2992203851534465,0.11710388198280064,False,False,False
mahalanobis_mature_manifold,0.781124682431112,0.7857142857142857,0.5452022669532929,0.33128904664623704,-0.23087746726597616,-0.21332388377037564,0.41952018818471004,0.13333438317531257,0.10331508546568342,False,False,False
product_intersection,0.7589976646354839,0.7633219954648526,0.5019335290475988,0.3457125372434189,-0.24288692610331455,-0.22581426995557158,0.9881194805909267,0.7238772853461058,0.6511997998924008,False,False,False
minimum_gate,0.7580715070656471,0.7644557823129252,0.492429991784261,0.3140198745070635,-0.2592891858732522,-0.2418649429847611,0.9635651104260295,0.35145615666772134,0.11710388198280064,False,False,False
quantile_box_mean,0.756535341646446,0.7593537414965986,0.5026023409923255,0.32686970935258103,-0.2222324395749906,-0.209382517905358,0.9882550689333227,0.8058013225241994,0.8234207763965602,False,False,False
exponential_disk_profile,0.7278040046749575,0.7281746031746031,0.4542315006369458,0.33623230918526337,-0.2297073966042888,-0.2182915447613671,0.9930500397140588,0.834240848006437,0.8675655822974202,False,False,False
